NAME                         INSTALLED              FIXED IN                    TYPE    VULNERABILITY   SEVERITY    EPSS           RISK   
tar                          2:1.34-11.el9          (won't fix)                 rpm     CVE-2005-2541   Medium      3.8% (88th)    2.3    
libxml2                      2.9.13-14.el9_7                                    rpm     CVE-2024-34459  Low         4.2% (88th)    1.8    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-1619   Low         2.9% (86th)    1.5    
curl-minimal                 7.76.1-40.el9                                      rpm     CVE-2024-11053  Low         1.4% (80th)    0.6    
libcurl-minimal              7.76.1-40.el9                                      rpm     CVE-2024-11053  Low         1.4% (80th)    0.6    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2182   Low         0.7% (71st)    0.4    
curl-minimal                 7.76.1-40.el9                                      rpm     CVE-2024-7264   Low         0.8% (74th)    0.3    
libcurl-minimal              7.76.1-40.el9                                      rpm     CVE-2024-7264   Low         0.8% (74th)    0.3    
openssl                      1:3.5.5-3.el9_8        (won't fix)                 rpm     CVE-2024-41996  Low         0.6% (71st)    0.3    
openssl-libs                 1:3.5.5-3.el9_8        (won't fix)                 rpm     CVE-2024-41996  Low         0.6% (71st)    0.3    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-1620   Low         0.5% (67th)    0.3    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-4173   Low         0.5% (65th)    0.3    
curl-minimal                 7.76.1-40.el9                                      rpm     CVE-2024-9681   Low         0.7% (73rd)    0.3    
libcurl-minimal              7.76.1-40.el9                                      rpm     CVE-2024-9681   Low         0.7% (73rd)    0.3    
vim-minimal                  2:8.2.2637-26.el9_8.5  (won't fix)                 rpm     CVE-2022-1720   Low         0.5% (67th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-3968   Low         0.8% (74th)    0.2    
python3                      3.9.25-7.el9_8                                     rpm     CVE-2025-1795   Low         0.8% (73rd)    0.2    
python3-libs                 3.9.25-7.el9_8                                     rpm     CVE-2025-1795   Low         0.8% (73rd)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-3705   Low         0.5% (63rd)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-3973   Low         0.4% (58th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2343   Low         0.4% (58th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-1674   Low         0.4% (63rd)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2183   Low         0.6% (69th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-4166   Low         0.4% (59th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-4292   Low         0.3% (55th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2175   Low         0.3% (54th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2845   Low         0.5% (67th)    0.2    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-4187   Low         0.3% (52nd)    0.1    
python                       3.12.13                                            binary  CVE-2026-6100   Critical    0.2% (37th)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-4136   Low         0.3% (53rd)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-4293   Low         0.3% (54th)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-3927   Low         0.3% (48th)    0.1    
libarchive                   3.5.3-9.el9_7                                      rpm     CVE-2026-4426   Medium      0.2% (40th)    0.1    
python3                      3.9.25-7.el9_8                                     rpm     CVE-2025-4516   Medium      0.2% (43rd)    0.1    
python3-libs                 3.9.25-7.el9_8                                     rpm     CVE-2025-4516   Medium      0.2% (43rd)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2285   Low         0.2% (41st)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2129   Low         0.2% (40th)    0.1    
python3                      3.9.25-7.el9_8                                     rpm     CVE-2026-0672   Medium      0.2% (42nd)    0.1    
python3-libs                 3.9.25-7.el9_8                                     rpm     CVE-2026-0672   Medium      0.2% (42nd)    0.1    
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2125   Low         0.2% (39th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2124   Low         0.2% (38th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2286   Low         0.2% (38th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2126   Low         0.2% (38th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2042   Low         0.2% (37th)    < 0.1  
python3-pip-wheel            21.3.1-2.el9_8                                     rpm     CVE-2021-3572   Low         0.2% (47th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-1616   Low         0.2% (37th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2026-41411  Medium      0.1% (34th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2024-22667  Low         0.2% (35th)    < 0.1  
glib2                        2.68.4-19.el9_8.1                                  rpm     CVE-2023-32636  Low         0.2% (37th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2206   Low         0.1% (33rd)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2284   Low         0.1% (33rd)    < 0.1  
libgcc                       11.5.0-14.el9                                      rpm     CVE-2021-46195  Low         0.2% (46th)    < 0.1  
libgomp                      11.5.0-14.el9                                      rpm     CVE-2021-46195  Low         0.2% (46th)    < 0.1  
libstdc++                    11.5.0-14.el9                                      rpm     CVE-2021-46195  Low         0.2% (46th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-0213   Low         0.1% (35th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2210   Low         0.1% (31st)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2946   Low         0.1% (31st)    < 0.1  
coreutils-single             8.32-40.el9                                        rpm     CVE-2025-5278   Medium      0.1% (33rd)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2021-3974   Low         0.2% (43rd)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2862   Low         0.1% (29th)    < 0.1  
python                       3.12.13                                            binary  CVE-2026-3298   High        < 0.1% (22nd)  < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2304   Low         0.1% (28th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2207   Low         0.1% (28th)    < 0.1  
python                       3.12.13                3.15.0a6                    binary  CVE-2025-15366  Medium      0.1% (28th)    < 0.1  
python                       3.12.13                3.15.0a6                    binary  CVE-2025-15367  Medium      0.1% (28th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-3099   Low         0.1% (27th)    < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-2257   Low         < 0.1% (26th)  < 0.1  
python                       3.12.13                                            binary  CVE-2026-7210   Critical    < 0.1% (19th)  < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2023-48706  Low         0.1% (32nd)    < 0.1  
openssl                      1:3.5.5-3.el9_8                                    rpm     CVE-2026-28389  Low         0.1% (29th)    < 0.1  
openssl-libs                 1:3.5.5-3.el9_8                                    rpm     CVE-2026-28389  Low         0.1% (29th)    < 0.1  
libxml2                      2.9.13-14.el9_7                                    rpm     CVE-2026-6732   Medium      < 0.1% (24th)  < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2025-29768  Medium      0.1% (28th)    < 0.1  
gdb-gdbserver                16.3-3.el9                                         rpm     CVE-2025-69650  Low         0.2% (35th)    < 0.1  
